"","V1","Stolen From","Type","ZIP","Offense","Make","Caliber","Address","Date","Status"
"1","1","APARTMENT","TWO 30 ROUNG BANANA MAGA","77099","BURGLARY HABITATION","RUGER","22-Oct","10440 SOUTH  DR,houston ,Texas ,77099","9/25/2009","S"
"2","2","RESIDENCE/HOUSE","RIFLE, LEVER ACTION","77053","BURGLARY HABITATION","WINCHESTER","22 CAL","4843 COURT  RD,houston ,Texas ,77053","8/27/2008","S"
"3","3","RESIDENCE/HOUSE","COMMANDER","77017","BURGLARY HABITATION","COLT","*","8161 HOWARD  DR,houston ,Texas ,77017","8/15/2011","S"
"4","4","STREETS","RIFLES","77006","THEFT (AUTO) FELONY","","","1336 WESTHEIMER  RD,houston ,Texas ,77006","5/11/2009","S"
"5","5","PAWN/RESALE SHOP/FLEA MAR","AUTO","77091","AGGRAVATED ROBBERY (DEADLY WEAPON)/BY FIREARMS","GLOCK","40","5906 SHEPHERD N DR,houston ,Texas ,77091","5/27/2009","S"
"6","6","CONDOMINIUM","RIFLE, BOLT ACTION","77055","BURGLARY HABITATION","REMINGTON ARMS CO INC","22-250","7308 SHADY VILLA  LN,houston ,Texas ,77055","4/29/2010","S"
"7","7","RESIDENCE/HOUSE","PISTOL, SEMIAUTOMATIC","77004","BURGLARY HABITATION","MAKROV","9 MILL","4712 LA BRANCH  ,houston ,Texas ,77004","4/11/2011","S"
"8","8","RESIDENCE/HOUSE","PISTOL, SEMIAUTOMATIC","77036","BURGLARY HABITATION","COLT","45 CAL","7915 PRESTWOOD  DR,houston ,Texas ,77036","2/28/2010","S"
"9","9","RESIDENCE/HOUSE","AMMUNITION","77078","BURGLARY HABITATION","","38","7889 LOCKSLEY  RD,houston ,Texas ,77078","1/25/2009","S"
"10","10","RESIDENCE/HOUSE","SHOTGUN, PUMP ACTION","77033","BURGLARY HABITATION","UNKNOWN","12 GAUGE","5815 BELDART  ST,houston ,Texas ,77033","12/31/2010","S"
"11","1","RESIDENCE/HOUSE","PISTOL, SEMIAUTOMATIC","77099","THEFT (AUTO CAR NOT TRUCK)/LOSS $200.00 OR MORE - F","UNKNOWN","40 CAL","9931 GOLDEN GLEN  DR,houston ,Texas ,77099","8/13/2009","S"
